NAME,MEDIA_TYPE,SOURCE,PUBLICATION_DATE,TAGS,MORE_INFO
"Linked Data Implementations-Who, What and Why?",video,https://vimeo.com/171578255,11-29-2016,Linked Data; OCLC,
Readers Advisory Chicago Public Library,video,https://www.youtube.com/watch?v=K4J2YlFxaUE,8-30-2018,Design Thinking; Chicago Public Library,A Design Thinking team from the Chicago Public Library created a video of their final project presentation. It provides an example of how to structure your story.
The Future of Linked Data in Libraries: Assessing BIBFRAME Against Best Practices,video,https://vimeo.com/152611387,12-14-2015,Linked Data; Stanford University,
Building a Deeper Bench: Training Students to Provide Digital Scholarship Support,video,https://vimeo.com/220321311,4-4-2017,Professional Development; University of North Carolina at Chapel Hill,"This program highlights one new way that University of North Carolina Libraries services are enabling pedagogical and curricular change: by training Library student employees to provide substantial digital scholarship support. Historically, the Libraries have helped drive pedagogical change in four ways: 1.) Working directly with instructors on courses, assignments, and in curricular groups, 2.) Partnering with campus support organizations (e.g., teaching & learning center) to deliver programming, 3.) Introducing students to new skills and technologies through direct consultation and instruction, and 4.) Providing and integrating technology-enabled spaces into research and instruction. Recently, we have identified a fifth method: training and mentoring student employees in the delivery of digital scholarship research assistance. Training students to provide significant digital scholarship support gives them a hands-on work experience, engages them in new types of research, and develops their skills with emerging tools and practices. It also allows the Library’s many digital scholarship services to scale more readily, providing librarians with more time to engage with researchers on larger, complex projects and questions. In this session, we discuss the kind of work our students engage in, the growth of our training programs, and the curriculum that is beginning to emerge through our experience. We will draw from three examples: o Graduate students in the Science Library’s Makerspace providing 3D printing and 3D scanning consultations and instruction to faculty and students. o Graduate students in the Undergraduate Library developing tutorials and teaching workshops on digital media creation, including social media graphics and infographics. o Graduate and undergraduate students in the Davis Library Research Hub providing consultations and project support on a range of tools, from Tableau to Python. Co-authors, not presenting: Suchi Mohanty, Head, R.B. House Undergraduate Library Amanda Henley, Head, Digital Research Services Danianne Mizzy, Head, Kenan Science Information Services"
Why Diversity is Not Enough,video,https://www.youtube.com/watch?v=rvyIHpMmCuM,5-21-2013,Diversity; Equity; Inclusion,
NASIG Webinar: DIY E-Resource Management: Basics of Information Architecture,video,https://www.youtube.com/watch?v=WqkHaETDh4o,4-3-2018,E-Resource Management; NASIG,"This webinar provides an introduction (or refresher) to concepts in information architecture and strategies for the design of homegrown e-resource management systems (ERMS). While both commercial and open source ERMS are available, sometimes the resources needed to license or support these systems are not. This session prepares attendees with information, tools, and strategies to design and implement homegrown ERMS using software such as Microsoft Access. The information in this session can also be applied to evaluate commercial or open source systems."
Racing to the Crossroads of Scholarly Communication: But Who Are We Leaving Behind?,video,https://www.youtube.com/watch?v=BhLC8w8OLww,7-5-2017,Scholarly Communication; Diversity; Equity; Inclusion; NASIG; New York University,"April Hathcock is the Scholarly Communications Librarian at NYU where she educates the campus community on issues of ownership, access, and rights in the research lifecycle. Before entering librarianship, she practiced intellectual property and antitrust law for a global private firm. Her research interests include diversity and inclusion in librarianship, cultural creation and exchange, and the ways in which social and legal infrastructures benefit the works of certain groups over others. She is the author of the article “White Librarianship in Blackface: Diversity Initiatives in LIS” and the blog At the Intersection, which examines issues at the intersection of feminism, libraries, social justice, and the law."
Influence and Innovation,video,https://facebook.design/videos/larryjackson,7/6/2017,Design; Innovation; Strategy,
Skilltype February 2019 Product Update,video,https://vimeo.com/320646575,3/1/2019,Skilltype; Recruitment; Professional Development,"In this update, we announce the upcoming release of Organizations v1, introduce our public product roadmap, and have a debate about encouraging users to use personal vs. work emails. Attendees were present from Gonzaga University, Wayne State University, and the Skilltype team."
Growing the Archives Profession,video,https://www.youtube.com/watch?v=r6D53yIx_Wc,8-9-2012,Professional Development; Archives; SAA,"SAA Vice President Jackie Dooley with Adriana Cuervo, Terry Baxter, Carol Bartels, Robin Chandler, and Laura Tatum. Recorded at SAA's 2012 Annual Meeting in San Diego."
"""Algorithms of Oppression..."" Safiya Noble, USC",video,https://www.youtube.com/watch?v=oqelqdDIDSs,12-11-2017,Equity; Organizational Development; Knowledge Management,"The landscape of information is rapidly shifting as new imperatives and demands push to the fore increasing investment in digital technologies. Yet, critical information scholars continue to demonstrate how digital technology and its narratives are shaped by and infused with values that are not impartial, disembodied, or lacking positionality. Technologies consist of a set of social practices, situated within the dynamics of race, gender, class, and politics, and in the service of something -- a position, a profit motive, a means to an end. In this talk, Safiya Umoja Noble, Assistant Professor in the Annenberg School of Communication at USC, will examine the power struggles over representation on the web, and the consequences of marginalization and misrepresentation in commercial information platforms like Google search."
Simple Prototyping,video,https://www.youtube.com/watch?v=IaX3izBZSlc,8-30-2018,Design Thinking; Prototyping,"A prototype is an early sample, model, or release of a product built to test a concept or process or to act as a thing to be replicated or learned from. It is a term used in a variety of contexts, including semantics, design, electronics, and software programming."
IDEO Brainstorming Video from IDEO U,video,https://www.youtube.com/watch?v=VvdJzeO9yN8,7-10-2017,Design Thinking; Brainstorming; Management,"Want to learn by seeing how experts brainstorm? See brainstorming in action with IDEO's Toy Lab. This brainstorm - about attracting more visitors to a zoo - was recorded as part of a course by IDEO U: From Ideas to Action. In the larger lesson on Ideation, we share more about Brainstorming and other IDEO favorite ideation methods. We also share more about the philosophy around Ideation as a key part of Design Thinking."
The State of Digital Preservation: An Interview with Roger Schonfeld,audio,https://soundcloud.com/educause/cni-podcast-the-state-of-digital-preservation,12-7-2018,Digital Preservation; CNI; ITHAKA S+R,
Open Discovery Initiative,audio,https://www.niso.org/sites/default/files/audio/2019-01/Open%20Telecon%20ODI%20January%2014%2C%202019.m4a,1-14-2019,Discovery; NISO,"The Open Discovery Initiative (ODI) Recommended Practice defines best practices for the new generation of library discovery services that are based on indexed search. These discovery services are primarily based upon indexes derived from journals, ebooks and other electronic information of a scholarly nature. The content comes from a range of information providers and products--commercial, open access, institutional, etc. Given the growing interest and activity in the interactions between information providers and discovery services, a more standard set of practices is required for the ways that content is represented in discovery services and for the interactions between the creators of these services and the information providers whose resources they represent."
AI and the Value of Expertise,audio,https://www.hbs.edu/managing-the-future-of-work/podcast/Pages/podcast-details.aspx?episode=8781584,2-26-2019,Artificial Intelligence,"AI has been predicted to replace humans in professions ranging from customer service representatives to medical doctors. But many have pointed out elements of human work that would be difficult to imagine being performed by AI. HBS Professor Raj Choudhury discusses his investigations into uses of technologies based on machine learning. AI, he says, will be a valuable tool in the hands of experts. Listen to hear why."
Speaking the Language of Skills,audio,https://www.hbs.edu/managing-the-future-of-work/podcast/Pages/podcast-details.aspx?episode=8524835,02-05-2019,Management; Recruiting; Professional Development; Organizational Development,"As jobs change faster and faster and companies work to prepare their employees for the future, it is more important than ever for firms to assess the talent they have and understand skills they need to compete. David Blake, founder and Executive Chairman of Degreed and author of the new book The Expertise Economy, talks to Joe about how companies can learn to speak the language of skills and empower employees working to gain them."
Retraining Road Trip: New Skills for Older Workers,audio,https://www.hbs.edu/managing-the-future-of-work/podcast/Pages/podcast-details.aspx?episode=7628675,11-20-2018,Organizational Development; Management; Succession Planning,"From South Carolina, to Appalachia, to Wisconsin, Professor Willy Shih set out across the country to understand the plight of older workers coping with the changing nature of jobs. His conclusion: the challenges are enormous, but finally, a grassroots movement is taking shape to retrain workers across communities in America. Professor Shih, who has a background in American manufacturing, shares his road-trip findings with Bill in this podcast as well as an HBR article."
Work without borders: How digital platforms are transforming the way firms get things done,audio,https://www.hbs.edu/managing-the-future-of-work/podcast/Pages/podcast-details.aspx?episode=7069777,9-20-2018,Skilltype; Recruitment; Organizational Development,"As the world gets smaller, the talent pools available to firms are getting much, much bigger. By bringing employers and workers together and solving key challenges of contracting at a distance, digital labor platforms are changing the way work is done. Professor Chris Stanton, who has studied them for over a decade, discusses the ins and outs of tapping into these labor sources, how workers on these marketplaces compete, and how platforms are disrupting management. Are physical offices a thing of the past?"
NYPL Podcasts: Five Episodes to Listen to This Black History Month,audio,https://www.nypl.org/blog/2019/02/01/nypl-podcasts-black-history-month,2-1-2019,NYPL; Diversity; Inclusion,"To celebrate Black History Month, NYPL Podcasts compiled a list of favorite episodes from the past year—from both The Librarian Is In and Library Talks—featuring influential Black authors, educators, and activists. These conversations shed light on Black history made in politics, literature, and pop culture."
"#FixMyLibrary Ep: 2: I'm Good Enough, I'm Smart Enough",audio,https://soundcloud.com/fixmylibrary/ep-2-im-good-enough-im-smart-enough,11-16-2018,Credentialing; Professional Development; Recruitment; Organizational Development; Assessment,"A perennial discussion in LIS centers the value of the terminal degree for the field, and one way that value is challenged is through the ever-encroaching ""preferred qualification"" of a second master's degree. In this episode, we hash out the issues related to library degree value -- including pride, perceptions, and pay. Can it be fixed? Join the conversation: twitter.com/fixmylibrary. Want something in LIS fixed? Email: fixmylibrarypodcast@gmail.com"
CNI Podcast: Blockchain: What's Not to Like?,audio,https://soundcloud.com/educause/cni-podcast-blockchain-whats-not-to-like,3-1-2019,Blockchain; Technology; CNI; Stanford University; LOCKSS,"Dr. David S. H. Rosenthal is recently retired after nearly two decades as chief scientist of the LOCKSS (Lots Of Copies Keep Stuff Safe) Program at the Stanford University Libraries. We’re in a period when blockchain or “distributed ledger technology” is the Solution to Everything™, so it is inevitable that it will be proposed as the solution to problems in academic communication and digital preservation. But there are those who have strong doubts about the implementation of this technology."
Artificial Intelligence (AI) in the Library,audio,https://soundcloud.com/educause/cni-podcastartificial-intelligence-in-the-library,12-11-2017,Artificial Intelligence; Machine Learning; CNI; University of Rhode Island; North Carolina State University,"Karim Boughida is dean of university libraries at the University of Rhode Island. Chris Erdmann is chief strategist for research collaboration at North Carolina State University. Artificial intelligence is being used in and developed for the library, museum, and archives fields. And as the technology becomes more advanced and widespread, it’s important to see the uses AI can bring to the library."
Amanda Rust on Designing for Diversity,audio,https://soundcloud.com/educause/cni-podcast-amanda-rust-on-designing-for-diversity,3-1-2018,Diversity; Design; Northeastern University; Boston Library Consortium,"Amanda Rust is assistant director of the Digital Scholarship Group at Northeastern University. We spoke about Design for Diversity, a project supported by an Institute of Museum and Library Services (IMLS) National Forums grant that focuses on the ways in which information systems embody and reinforce cultural norms, and asks how we can design systems that account for diverse cultural materials and ways of knowing."
The Intersection of Machine Learning and Higher Education,audio,https://soundcloud.com/educause/the-intersection-of-machine-learning-and-higher-ed,3-23-2019,Machine Learning; Artificial Intelligence; Higher Education; Management; Information Technology,"Ray Blackwood, Vice President, Product Management, at Campus Management about the intersection of AI and machine learning in higher ed specifically and how colleges can leverage both to improve their institutions and help students."
Mentoring as a Professional Development Tool,audio,https://soundcloud.com/educause/mentoring-as-a-professional-development-tool,3-1-2017,Professional Development; Mentoring; Organizational Development,"Mentoring can be a great tool for both mentor and mentee to enrich their professional development. Having a person to bounce off ideas and to give advice is an invaluable tool in sharpening one's skills. In this podcast we hear about one such relationship and share resources on getting started finding a mentor or becoming one. Learn all about effective mentoring and the ways it can boost your career, whether you are a mentor or a mentee."
Educause: Analytics Examined,audio,https://soundcloud.com/educause/podcast-analytics-examined,1-1-2016,Analytics; Big Data; Data Science; Higher Education,
Research Libraries Collaborate to Compete,audio,https://soundcloud.com/educause/ero-carl-grant,3-1-2016,University of Oklahoma; Consortial Relations; Collaboration,Learn how Oklahoma's two largest research institutions were able to leverage federal and state directives to a tangible and funded project: ShareOK.org
Dale Askey On Digital Scholarship and the Library,audio,https://soundcloud.com/educause/dale-askey-on-digital-scholarship-and-the-library,1-1-2016,Digital Scholarship; McMaster University,"Dale Askey is the Associate University Librarian for Library and Learning Technologies, at McMaster University. He also serves as Administrative Director of the Lewis & Ruth Sherman Centre for Digital Scholarship."
"Interview: Heather McCullough, Head of Digital Scholarship at UNC Charlotte",audio,https://soundcloud.com/educause/interview-heather-mccullough-head-of-digital-scholarship-at-unc-charlotte,1-1-2016,Digital Scholarship; University of North Carolina at Charlotte; UNC Charlotte,"Heather McCullough is head of digital scholarship at the University of North Carolina Charlotte. In this conversation with Marilu Goodyear, she talks about what that position title means in her daily work and details some recent projects in digital scholarship."
Brown University Libraries Supporting Digital Scholarship,audio,https://soundcloud.com/educause/brown-university-libraries-supporting-digital-scholarship,3-1-2015,Brown University; Digital Scholarship; Digital Scholarship,"This podcast features a conversation with Joukowsky Family University Librarian at Brown University, Harriette Hemmasi. In this interview she discusses the Brown University Library Digital Scholarship Lab and the relationship librarians at Brown are cultivating with research and other forms of digital scholarship."
Linda Baer on the Promise of Analytics,audio,https://soundcloud.com/educause/podcast-linda-baer-on-the-promise-of-analytics,3-1-2015,Analytics; Big Data; Higher Education,
Documenting Ferguson: Building a Community Digital Repository,audio,https://soundcloud.com/educause/documenting-ferguson-building-a-community-digital-repository,8-15-2016,Digital Repositories; Digital Scholarship; Washington University at St. Louis,"Shannon Davis is Digital Library Services Manager at Washington University. She helped to coordinate a community digital repository to chronicle the events in Ferguson, Missouri in 2015."
Big Data Ethics,audio,https://soundcloud.com/educause/big-data-ethics,5-12-2016,Ethics; Big Data,"Bonnie Tijerina is a Researcher at the Data & Society Research Institut. In this conversation she discusses the Supporting Ethics in Data Research project, which explores the current and potential partnerships between computer science researchers, librarians, and support systems on campus to address emerging ethical issues in the research process."
AI Lab at University of Rhode Island Libraries,presentation,https://www.cni.org/wp-content/uploads/2018/01/cni_ai_boughida.pdf,12-11-2017,Artificial Intelligence; Machine Learning; University of Rhode Island,Introduction to University of Rhode Island's AI Lab by Karim Boughida
Introduction to AI in Libraries,presentation,https://www.cni.org/wp-content/uploads/2017/12/cni_AI_erdmann.pdf,12-11-17,Artificial Intelligence; Machine Learning; North Carolina State University,Introduction to AI in libraries by Christopher Erdmann
AI in Libraries,presentation,https://www.cni.org/wp-content/uploads/2017/12/cni_AI_pickering.pdf,12-11-2017,Artificial Intelligence; Machine Learning; Yewno,"Introdution to Yewno and AI in Libraries, by Ruth Pickering"
Software Carpentry in the Library: Partnering to Give Researchers Needed Technical Skills,presentation,https://www.cni.org/wp-content/uploads/2017/04/CNI_Software_Clayton.pdf,3-29-2017,Software Development; University of Oklahoma,
"Operationalizing Diversity, Equity, and Inclusion in the Workplace",presentation,https://www.slideshare.net/BaltimoreNISO/operationalizing-diversity-equity-and-inclusion-in-the-workplace,11-14-2018,Diversity; Equity; Inclusion; Organizational Development; Oberlin College; NISO,"This presentation was provided by Alexia Hudson Ward of Oberlin College during the NISO event, ""Building Diversity in the Workforce,"" held on Wednesday, November 14, 2018."
Diversity and Inclusion in Scholarly Publishing: A Cross-Organizational: Initiative,presentation,https://www.slideshare.net/BaltimoreNISO/diversity-and-inclusion-in-scholarly-publishing-a-crossorganizational-initiative,11-14-2018,Diversity; Equity; Inclusion; Organizational Development; NISO; Baker University,"This presentation was provided by Melanie Dolechek of Baker University during the NISO event, Building Diversity in the Workforce, held on Wednesday, November 14, 2018."
"Diversity, Equity, and Inclusion in Libraries and Cultural Organizations",presentation,https://www.slideshare.net/BaltimoreNISO/diversity-equity-and-inclusion-i-libraries-and-cultural-organizations,11-14-2018,Diversity; Equity; Inclusion; Organizational Development; NISO; ITHAKA S+R,"This presentation was provided by Liam Sweeney of THAKA S&R during the NISO event, ""Building Diversity in the Workforce,"" held on Wednesday, November 14, 2018."
Intro to EBSCO Discovery Service,presentation,https://www.slideshare.net/slee4000/intro-to-ebsco-discovery-service-eds-114891155,9-17-2018,EBSCO; Discovery; Technology,A short PowerPoint on using EBSCO Discovery Service at Antelope Valley College.
FOLIO Service Platform for Libraries,presentation,https://slideplayer.com/slide/13226333/,12-8-2017,FOLIO; Integrated Library System; ILS; Open Source,"FOLIO is an open source software platform created for and by the community. The platform is available – free and with no restrictions – to everyone, regardless of location, type of institution, or business model."
Discovery Analytics: How Patrons at Three Campuses Interacted With Primo,presentation,https://www.dropbox.com/sh/r8yfxwl7h602au6/AABGaKVbMbEg7AnmijmTOApda?preview=S014+-+Discovery+Analytics_+How+patrons+at+three+campuses+interacted+with+Primo.pdf,3-1-2018,Ex Libris Primo; Discovery; California State University; User Research; Analytics,
You May Own It...But Can They Find It? ER&L 02018,presentation,https://www.dropbox.com/sh/r8yfxwl7h602au6/AABGaKVbMbEg7AnmijmTOApda?dl=0&preview=S019+-+You+May+Own+It....But+Can+They+Find+It+Panel+Presentation+FINAL.pptx,3-11-2018,Discovery; ER&L; E-Resource Management; PALNI; Claremont Colleges; OCLC; Metadata Management,"Have you purchased eBook or eJournal collections where the metadata was incomplete or unavailable? Please join us for this session where attendees will learn how to: Increase discoverability of e-collections when metadata is unavailable or incomplete, collaboratively create and manage metadata for electronic resources, and receive previously unavailable WorldCat MARC records"
A Tale of Two Assessments: A Two-Pronged Approach to Improve Your Discovery Tool,presentation,https://www.dropbox.com/sh/r8yfxwl7h602au6/AABGaKVbMbEg7AnmijmTOApda?dl=0&preview=Jennifer+Hill+-+S041-A+Tale+of+Two+Assessments.pdf,3-11-2018,Assessment; Discovery; Johns Hopkins University,"Discovery tools are often users’ first impression of the library, so continuous assessment is critical to identify/solve usability issues. We will share two approaches (usability testing and a survey widget) for determining necessary changes that we used to assess EDS. Both methods can be done entirely online at a distance. Takeaways can be used to enhance your discovery tool effectiveness or to improve future assessment efforts."
Alma at the Speed of Lihgt: New Ways of Working Together to Improve Interdepartmental Workflows,presentation,https://www.dropbox.com/sh/r8yfxwl7h602au6/AABGaKVbMbEg7AnmijmTOApda?dl=0&preview=S029+-+Alma+at+the+Speed+of+Light.pptx,3-11-2018,Ex Libris Alma; Integrated Library System; Collaboration; Montana State University; Vanderbilt University; Ithaca College,"This session discusses how daily routines at several academic libraries have been impacted by implementing Alma. We will discuss, with information provided by other Alma libraries through interviews, how workflows are being identified and streamlined, improvements to interdepartmental collaboration, and barriers to adopting these changes."
Combining Forces for E-Resources: How We Organized a Hackfest for Not Necessarily Programmers,presentation,https://www.dropbox.com/sh/r8yfxwl7h602au6/AABGaKVbMbEg7AnmijmTOApda?dl=0&preview=S049+-+Combining+Forces+for+E-Resource+-+How+We+Organized+a+Hackfest+for+Not+Necessarily+Programmers.pptx,3-11-2018,E-Resource Management; SCELC; Claremont Colleges; University of San Francisco; Touro University; Community Development,"SCELC has generously supported grants for hackfests for electronic resource issues for the past two years. These e-resource-focused events welcome all experience levels, and encourage cross-training and creative thinking rather than requiring programming knowledge. We will share our planning, marketing, and program information for productive, collaborative events with tangible takeaways."
Working With Workflows: Using the FOLIO Workflow App to Support Library Operations,presentation,https://www.dropbox.com/sh/r8yfxwl7h602au6/AABGaKVbMbEg7AnmijmTOApda?dl=0&preview=S097+-+Kristin+Martin+-+Working+with+Workflows+Using+the+FOLIO+Workflow+App+to+Support+Library+Operations.pptx,3-11-2018,FOLIO; University of Chicago; Texas A&M University; ER&L; Integrated Library System; Library Service Platform; Open Source,"The FOLIO project is creating a separate workflow app, designed to provide a unified approach toward workflows. With the ability to create basic checklists, automate or trigger workflows, and share workflows with other institutions, the workflow app will tie together functionality across all of FOLIO to support system-wide operations."
Point of Need: Using Personas to Meet Users' Research and Scholarship Needs,presentation,https://www.dropbox.com/sh/r8yfxwl7h602au6/AABGaKVbMbEg7AnmijmTOApda?dl=0&preview=S026-02-Point+of+Need+Using+personas+to+meet+users%27+research+and+scholarship+needs.pptx,3-11-18,User Research; Digital Scholarship; Indiana State,"This talk will discuss how the eResources librarian at Indiana State University is working to create user personas to inform the placement/ design of resources across the library's web presence. Participants will learn what user personas are, how they are made, and apply them to fit their institutional needs."
Moving Beyond IP Authentication: The New Fronteir in Single Sign On,presentation,https://www.dropbox.com/sh/r8yfxwl7h602au6/AABGaKVbMbEg7AnmijmTOApda?dl=0&preview=S080+%E2%80%93+Moving+Beyond+IP+Authentication+The+New+Frontier+in+Single+Sign-On.pptx,3-11-2018,EBSCO; Open Athens; Laredo Community College; Authentication; Information Technology; E-Resource Management; Analytics,
The Messy Reality of Algorithmic Culture,presentation,https://events7.mediasite.com/Mediasite/Play/6f028b3208c94ff39d6c7a924670ed7d1d,3-12-2018,Ethics; Big Data,"Data-driven and algorithmic systems increasingly underpin many decision-making systems, shaping where law enforcement are stationed and what news you are shown on social media. The design of these systems is inscribed with organizational and cultural values. Often, these systems depend on the behavior of everyday people, who may not act as expected. Meanwhile, adversarial actors also seek to manipulate the data upon which these systems are built for personal, political, and economic reasons. In this talk, danah will unpack some of the unique cultural challenges presented by ""big data"" and machine learning, raising critical questions about fairness and accountability. She will argue that we need to develop more sophisticated ways of thinking about technology before jumping to hype and fear."
Promoting Effective Research Data Management Practices Through Integration of Digital Research Tools,presentation,https://www.caudit.edu.au/system/files/Media%20library/Resources%20and%20Files/THETA%202017/Mon_1320_Helena%20Lynn%20THETA%202017.pdf,3-13-2018,Research Data; Digital Repositories; Research Management; University of Sydney,"While many researchers acknowledge the importance of engaging with research data management policies and practices, their compliance is often hindered by the lack of user-friendly platforms that meet RDM requirements and/or their specific research needs. Building additional functionality into these platforms, including streamlining the way they interact with additional tools/platforms allows for less time to be invested in curating research data. This improves user experiences and removes one of the barriers to researcher engagement with effective RDM."
Shaping the Future of Academic Libraries: Authentic Learning for the Next Generation,presentation,https://www.caudit.edu.au/system/files/Media%20library/Resources%20and%20Files/THETA%202017/Tue_1340_Jackie%20Edwards%20THETA%202017.pdf,3-14-2018,Faculty Partnerships; University of Technology Sydney; Academic Librarianship; Professional Development; Organizational Development,"The Next Generation Library is changing in the wake of a tertiary education sector trying to adjust for a future skilled workforce that is expected to have a much broader and more flexible set of skills than graduates of just half a generation ago. In this paper, we present a case study which illustrates the onset of a paradigm shift in academic librarianship, disciplinary coursework and integrated learning and teaching. The upcoming challenges are a golden opportunity for evolving the role of academic librarianship, helping universities to shape the degree courses of the future."
Is the Value of the Big Deal in Decline,article,https://scholarlykitchen.sspnet.org/2019/03/07/value-big-deal-leakage/,3-7-2019,Publisher Relations; Open Access; Analytics; Technology; ,"Last week, the University of California system terminated its license with Elsevier. There has been a great deal of attention to California’s efforts to reach a Publish & Read (P&R) agreement. The what-could-have-been of this deal is interesting and important. But I wish to focus today on the what-no-longer-is of scholarly content licensing, focusing on the big deal model of subscription journals bundled together on a single publisher basis for three to five year deals. In the eyes of major libraries in Europe and the US, the value of the big deal has declined. As a result, we are moving into a new period, in which publisher pricing power has declined and the equilibrium price for content and related services is being reset. What is the principal culprit? I will maintain today that we must look in large part to what publishers call “leakage.”"
